,station_name,station_lat,station_lon
0,Nanumea,-5.6614,176.1036
1,Nanumaga,-6.2858,176.3199
2,Niutao,-6.1064,177.3438
3,Banaba,-0.8570518607682109, 169.53856946762153
4,Kuria Island,0.2126346123053192, 173.42842783005804
5,Aranuka Island,0.18963213012791275, 173.63476481173586
6,Tabiauea,0.9224131004066184, 173.02702082909812
7,Tarawa,1.443721581063886, 172.98556460611772
8,Abaiang,1.8507332466632718, 172.9287446909976
9,Marakei Island,2.0003175752323177, 173.27671592143017 
10,Butaritari Island,3.1674368016902905, 172.82507483732542
11,Tabiteuea Island,-1.1318718997270634, 174.6794662458366
12,Kanton,-2.801048137591114, -171.67993524288897
13,Christmas Island,1.9013589233144486, -157.41343749748637
14,Makin,3.373632354882428, 172.98523717731547
15,Butaritari,3.09766163939641, 172.89201045482335
16,Maiana Island,0.9829123593300637, 173.0536556889024
17,Abemama,0.43612773459124143, 173.90382972243174
18,Nonouti,-0.719459482763639, 174.45211661241424
19,Beru Island,-1.3461081441249243, 176.003218320521
20,Nikunau,-1.343920175153945, 176.44877620246777
21,Onotoa,-1.8104567154524285, 175.5591869776137
22,Tamana,-2.5069577424187117, 175.9910201135324
23,Arorae,-2.628446026761749, 176.81692415677102
